A Number,B Number,Date Time,Duration (sec),Call Type,Tower ID,IMEI,IMSI,Operator Name,Lat,Lng
+91700007836,+91800007370,2025-08-24 03:55:58,80,SMS,Airtel-AMB-001,354809104512345,404000000080190,JIO,30.5200,76.6600
+91990003649,+91800006689,2025-08-25 00:23:48,119,IN,JIO-LDH-001,354809100000483,404000000547411,JIO,30.8890,75.8210
+91800004739,+91990009579,2025-08-24 05:07:08,46,IN,JIO-PTK-001,354809100000147,404000000167299,JIO,31.3260,75.5760
+91700003938,+91850003325,2025-08-24 08:22:46,1198,OUT,Airtel-LDH-002,354809104519999,404000000040595,JIO,30.9250,75.8640
+91980004860,+91980003026,2025-08-24 02:20:54,105,IN,JIO-CHD-002,354809100000378,404000000428626,JIO,30.7420,76.7880
+91980003026,+91700010834,2025-08-24 06:57:11,95,OUT,BSNL-JAL-001,354809100000364,404000000412788,Airtel,30.9530,75.5730
+91800010849,+91700001246,2025-08-24 16:13:57,37,OUT,VI-PTA-001,354809104512345,404000000238570,VI,30.3750,76.7820
+91850002678,+91980004311,2025-08-24 20:58:20,69,SMS,JIO-CHD-006,354809100000245,404000000278165,Airtel,30.6940,76.7270
+91850002678,+91700003938,2025-08-24 20:46:16,663,OUT,JIO-PTK-001,354809104519999,404000000278165,Airtel,31.3260,75.5760
+91980002950,+91800003986,2025-08-24 21:37:00,286,OUT,JIO-PHR-001,354809100000357,404000000404869,Airtel,31.0150,75.3480
+91800003431,+91800005262,2025-08-24 09:43:17,83,IN,JIO-CHD-005,354809100000133,404000000151461,JIO,30.7050,76.7450
+91850009946,+91990005690,2025-08-24 04:49:22,22,OUT,JIO-PTK-001,354809100000315,404000000357355,JIO,31.3260,75.5760
+91980007176,+91700007836,2025-08-24 22:54:52,110,IN,JIO-CHD-005,354809100000406,404000000460302,JIO,30.7050,76.7450
+91850008066,+91990009579,2025-08-24 12:46:30,96,OUT,JIO-CHD-004,354809100000294,404000000333598,BSNL,30.7190,76.7620
+91700006750,+91700000306,2025-08-24 21:23:13,87,IN,Airtel-AMB-001,354809100000056,404000000064352,BSNL,30.5200,76.6600
+91700010526,+91850004460,2025-08-24 13:36:04,1981,SMS,Airtel-AMB-001,354809100000098,404000000111866,JIO,30.5200,76.6600
+91700006802,+91700007836,2025-08-24 13:22:06,117,OUT,BSNL-JAL-001,354809100000063,404000000072271,Airtel,30.9530,75.5730
+91990002040,+91850008066,2025-08-24 07:45:59,93,IN,JIO-CHD-001,354809100000462,404000000523654,JIO,30.7333,76.7794
+91800004861,+91700007836,2025-08-25 01:42:11,620,OUT,JIO-LDH-001,354809100000154,404000000175218,BSNL,30.8890,75.8210
+91800009044,+91850006068,2025-08-24 18:55:16,1989,OUT,JIO-CHD-004,354809100000196,404000000222732,JIO,30.7190,76.7620
+91990000801,+91980002950,2025-08-25 00:03:43,79,IN,JIO-PTK-001,354809100000448,404000000507816,JIO,31.3260,75.5760
+91700001883,+91980001895,2025-08-24 17:35:52,111,OUT,Airtel-AMB-001,354809100000014,404000000016838,JIO,30.5200,76.6600
+91700005350,+91980010398,2025-08-24 12:55:15,103,SMS,JIO-PTK-001,354809100000049,404000000056433,JIO,31.3260,75.5760
+91980001895,+91700007836,2025-08-24 09:25:00,28,IN,JIO-CHD-MEET,354809100000350,404000000396950,JIO,30.7380,76.7830
+91850010197,+91700010834,2025-08-24 14:26:50,8,IN,BSNL-HSP-001,354809100000322,404000000365274,BSNL,31.1050,75.7040
+91800004739,+91700010834,2025-08-24 05:23:37,2,IN,BSNL-JAL-001,354809100000147,404000000167299,JIO,30.9530,75.5730
+91800005262,+91980005647,2025-08-24 22:21:57,640,OUT,JIO-LDH-001,354809100000161,404000000183137,JIO,30.8890,75.8210
+91980001661,+91990001551,2025-08-25 00:12:08,1413,OUT,Airtel-AMB-001,354809100000343,404000000389031,JIO,30.5200,76.6600
+91700010526,+91990010688,2025-08-24 09:46:39,697,IN,JIO-CHD-006,354809100000098,404000000111866,JIO,30.6940,76.7270
+91980007956,+91990008369,2025-08-24 15:02:46,38,OUT,JIO-PHR-001,354809100000413,404000000468221,JIO,31.0150,75.3480
+91850004460,+91800003431,2025-08-24 22:36:34,37,IN,BSNL-JAL-001,354809100000259,404000000294003,JIO,30.9530,75.5730
+91800009044,+91980008641,2025-08-24 23:14:48,68,OUT,JIO-CHD-003,354809100000196,404000000222732,JIO,30.7510,76.8010
+91700001246,+91700003099,2025-08-25 00:42:51,8,OUT,JIO-PHR-001,354809100000007,404000000008919,VI,31.0150,75.3480
+91980007176,+91850006068,2025-08-24 19:09:38,34,IN,JIO-PHR-001,354809100000406,404000000460302,JIO,31.0150,75.3480
+91980004860,+91800006894,2025-08-24 06:39:40,588,OUT,BSNL-JAL-001,354809100000378,404000000428626,JIO,30.9530,75.5730
+91800002085,+91990010688,2025-08-24 20:20:04,64,OUT,JIO-CHD-001,354809100000119,404000000135623,JIO,30.7333,76.7794
+91700001246,+91800006894,2025-08-24 16:18:45,98,IN,VI-PTA-001,354809100000007,404000000008919,VI,30.3750,76.7820
+91700001883,+91850009504,2025-08-24 19:55:36,1887,IN,JIO-PTK-001,354809100000014,404000000016838,JIO,31.3260,75.5760
+91800005262,+91800007370,2025-08-24 18:55:10,26,OUT,JIO-PHR-001,354809100000161,404000000183137,JIO,31.0150,75.3480
+91990001551,+91700003938,2025-08-24 19:31:39,112,OUT,JIO-PTK-001,354809100000455,404000000515735,Airtel,31.3260,75.5760
+91990010724,+91800004739,2025-08-24 19:24:56,13,SMS,BSNL-HSP-001,354809100000553,404000000626601,Airtel,31.1050,75.7040
+91700008714,+91980009677,2025-08-24 09:02:52,81,SMS,JIO-CHD-001,354809100000084,404000000096028,JIO,30.7333,76.7794
+91800010849,+91990009579,2025-08-25 00:34:31,80,SMS,Airtel-LDH-001,354809104512345,404000000238570,VI,30.9120,75.8530
+91850006068,+91980004311,2025-08-24 20:07:46,28,OUT,JIO-CHD-006,354809100000273,404000000309841,JIO,30.6940,76.7270
+91990001551,+91980008641,2025-08-24 05:07:05,28,IN,JIO-CHD-006,354809100000455,404000000515735,Airtel,30.6940,76.7270
+91990002040,+91990007475,2025-08-24 06:20:32,293,IN,BSNL-JAL-001,354809100000462,404000000523654,JIO,30.9530,75.5730
+91990001551,+91850002311,2025-08-24 15:47:54,114,OUT,Airtel-AMB-001,354809100000455,404000000515735,Airtel,30.5200,76.6600
+91800002599,+91700001883,2025-08-24 03:55:21,627,SMS,JIO-CHD-002,354809100000126,404000000143542,JIO,30.7420,76.7880
+91990009579,+91980008641,2025-08-24 22:06:02,342,OUT,JIO-PTK-001,354809100000539,404000000610763,Airtel,31.3260,75.5760
+91980004311,+91990009579,2025-08-24 17:05:55,22,SMS,JIO-PTK-001,354809100000371,404000000420707,Airtel,31.3260,75.5760
+91800000604,+91980010398,2025-08-24 15:08:23,36,IN,VI-PTA-001,354809100000112,404000000127704,VI,30.3750,76.7820
+91850006289,+91850011508,2025-08-24 09:42:06,41,IN,JIO-CHD-001,354809100000280,404000000317760,BSNL,30.7333,76.7794
+91990000801,+91700007836,2025-08-24 13:20:31,103,IN,BSNL-JAL-001,354809100000448,404000000507816,JIO,30.9530,75.5730
+91980005802,+91980001895,2025-08-24 02:58:14,40,OUT,JIO-CHD-004,354809100000392,404000000444464,JIO,30.7190,76.7620
+91980007956,+91800003431,2025-08-24 05:13:07,105,IN,JIO-CHD-MEET,354809100000413,404000000468221,JIO,30.7380,76.7830
+91850006289,+91800000604,2025-08-24 22:35:16,597,IN,JIO-CHD-003,354809100000280,404000000317760,BSNL,30.7510,76.8010
+91700003938,+91850001457,2025-08-24 03:47:55,4,OUT,JIO-CHD-006,354809104519999,404000000040595,JIO,30.6940,76.7270
+91700008714,+91700003130,2025-08-24 22:12:02,1096,OUT,JIO-CHD-005,354809100000084,404000000096028,JIO,30.7050,76.7450
+91800009709,+91800006894,2025-08-24 21:20:37,90,OUT,JIO-LDH-001,354809100000203,404000000230651,BSNL,30.8890,75.8210
+91980008641,+91990005283,2025-08-24 15:41:36,94,IN,JIO-CHD-MEET,354809100000420,404000000476140,Airtel,30.7380,76.7830
+91850008729,+91850000697,2025-08-24 23:47:05,68,OUT,JIO-CHD-MEET,354809100000301,404000000341517,Airtel,30.7380,76.7830
+91990002040,+91800004861,2025-08-24 02:05:09,59,SMS,JIO-CHD-006,354809100000462,404000000523654,JIO,30.6940,76.7270
+91700006750,+91990000801,2025-08-24 11:47:39,336,OUT,JIO-LDH-001,354809100000056,404000000064352,BSNL,30.8890,75.8210
+91980008641,+91980003026,2025-08-24 04:58:38,24,IN,Airtel-AMB-001,354809100000420,404000000476140,Airtel,30.5200,76.6600
+91990005106,+91700005168,2025-08-24 15:58:29,64,OUT,JIO-CHD-002,354809100000490,404000000555330,JIO,30.7420,76.7880
+91700010834,+91800006894,2025-08-24 23:20:54,9,IN,JIO-PTK-001,354809104519999,404000000119785,JIO,31.3260,75.5760
+91800003986,+91700003938,2025-08-24 23:18:26,86,SMS,JIO-CHD-003,354809104512345,404000000159380,JIO,30.7510,76.8010
+91990010688,+91700010526,2025-08-24 18:28:27,51,OUT,JIO-CHD-MEET,354809100000546,404000000618682,JIO,30.7380,76.7830
+91980005802,+91990002040,2025-08-24 09:55:04,25,IN,Airtel-LDH-001,354809100000392,404000000444464,JIO,30.9120,75.8530
+91850006289,+91990008369,2025-08-24 08:37:24,99,SMS,VI-PTA-001,354809100000280,404000000317760,BSNL,30.3750,76.7820
+91990007475,+91850002311,2025-08-24 04:20:42,72,OUT,JIO-CHD-001,354809100000518,404000000587006,Airtel,30.7333,76.7794
+91980004860,+91980005802,2025-08-24 23:53:53,1107,OUT,JIO-CHD-006,354809100000378,404000000428626,JIO,30.6940,76.7270
+91980008641,+91990001551,2025-08-24 12:33:10,68,OUT,BSNL-HSP-001,354809100000420,404000000476140,Airtel,31.1050,75.7040
+91990003057,+91980010429,2025-08-24 02:17:04,375,OUT,JIO-CHD-003,354809100000476,404000000539492,Airtel,30.7510,76.8010
+91980005802,+91980006818,2025-08-24 20:45:16,15,IN,JIO-PTK-001,354809100000392,404000000444464,JIO,31.3260,75.5760
+91850003325,+91990009579,2025-08-24 17:18:49,1180,IN,JIO-CHD-HOME,354809100000252,404000000286084,JIO,30.7280,76.7750
+91850005482,+91980007956,2025-08-24 14:17:04,92,OUT,JIO-CHD-005,354809100000266,404000000301922,Airtel,30.7050,76.7450
+91800007370,+91980001661,2025-08-24 05:51:56,574,IN,JIO-CHD-MEET,354809100000182,404000000206894,JIO,30.7380,76.7830
+91980006818,+91990006728,2025-08-24 17:06:45,255,OUT,JIO-CHD-005,354809100000399,404000000452383,JIO,30.7050,76.7450
+91700008714,+91700005168,2025-08-24 12:42:32,58,IN,JIO-CHD-005,354809100000084,404000000096028,JIO,30.7050,76.7450
+91700000306,+91980003026,2025-08-24 05:53:33,117,OUT,JIO-CHD-HOME,354809100000000,404000000001000,JIO,30.7280,76.7750
+91990009579,+91980008641,2025-08-24 07:35:16,1789,IN,VI-PTA-001,354809100000539,404000000610763,Airtel,30.3750,76.7820
+91980007176,+91980001661,2025-08-24 06:34:32,16,IN,BSNL-HSP-001,354809100000406,404000000460302,JIO,31.1050,75.7040
+91700000306,+91800003986,2025-08-24 05:27:43,331,OUT,VI-PTA-001,354809100000000,404000000001000,JIO,30.3750,76.7820
+91800006894,+91990008369,2025-08-24 05:00:26,15,OUT,JIO-CHD-MEET,354809104519999,404000000198975,JIO,30.7380,76.7830
+91700009927,+91850006926,2025-08-24 15:40:41,22,OUT,BSNL-HSP-001,354809100000091,404000000103947,Airtel,31.1050,75.7040
+91700003938,+91800003986,2025-08-24 07:50:21,52,IN,Airtel-LDH-002,354809100000035,404000000040595,JIO,30.9250,75.8640
+91990005283,+91800002085,2025-08-24 03:10:19,526,IN,JIO-LDH-001,354809100000497,404000000563249,BSNL,30.8890,75.8210
+91700005168,+91800002085,2025-08-24 15:36:08,106,OUT,BSNL-HSP-001,354809100000042,404000000048514,JIO,31.1050,75.7040
+91990006728,+91800006894,2025-08-24 18:02:49,86,IN,JIO-PHR-001,354809100000511,404000000579087,JIO,31.0150,75.3480
+91980010429,+91800010849,2025-08-24 03:52:37,112,IN,JIO-LDH-001,354809100000441,404000000499897,JIO,30.8890,75.8210
+91850009946,+91800009044,2025-08-24 07:34:20,756,OUT,BSNL-JAL-001,354809100000315,404000000357355,JIO,30.9530,75.5730
+91800006894,+91850006068,2025-08-24 04:51:55,471,IN,JIO-CHD-002,354809104519999,404000000198975,JIO,30.7420,76.7880
+91850004460,+91700008714,2025-08-24 04:30:06,36,OUT,JIO-PHR-001,354809100000259,404000000294003,JIO,31.0150,75.3480
+91800004739,+91700000306,2025-08-24 22:56:48,100,OUT,JIO-CHD-001,354809100000147,404000000167299,JIO,30.7333,76.7794
+91700005168,+91800008226,2025-08-24 15:06:55,997,IN,JIO-CHD-001,354809100000042,404000000048514,JIO,30.7333,76.7794
+91850008066,+91700006750,2025-08-24 11:47:38,86,OUT,JIO-CHD-005,354809100000294,404000000333598,BSNL,30.7050,76.7450
+91980007176,+91980010398,2025-08-24 12:04:20,493,IN,JIO-LDH-001,354809100000406,404000000460302,JIO,30.8890,75.8210
+91850005482,+91800006894,2025-08-24 16:15:58,111,OUT,JIO-LDH-001,354809100000266,404000000301922,Airtel,30.8890,75.8210
+91990010688,+91850009504,2025-08-24 04:22:59,481,OUT,JIO-CHD-001,354809100000546,404000000618682,JIO,30.7333,76.7794
+91700003130,+91980001661,2025-08-24 04:18:50,79,OUT,Airtel-AMB-001,354809100000028,404000000032676,VI,30.5200,76.6600
+91700010526,+91980005647,2025-08-24 09:11:48,10,OUT,JIO-CHD-002,354809100000098,404000000111866,JIO,30.7420,76.7880
+91850008066,+91800005262,2025-08-24 16:52:21,31,IN,JIO-CHD-005,354809100000294,404000000333598,BSNL,30.7050,76.7450
+91850011508,+91700007836,2025-08-24 17:07:59,117,OUT,BSNL-JAL-001,354809100000329,404000000373193,Airtel,30.9530,75.5730
+91850002311,+91990010724,2025-08-25 01:33:52,2054,IN,JIO-CHD-005,354809100000238,404000000270246,Airtel,30.7050,76.7450
+91990010688,+91990005106,2025-08-24 02:06:14,111,OUT,JIO-LDH-001,354809100000546,404000000618682,JIO,30.8890,75.8210
+91700005350,+91700003938,2025-08-24 20:40:02,71,IN,Airtel-AMB-001,354809100000049,404000000056433,JIO,30.5200,76.6600
+91850008066,+91990007475,2025-08-24 12:57:22,8,IN,JIO-PTK-001,354809100000294,404000000333598,BSNL,31.3260,75.5760
+91850010197,+91990003649,2025-08-24 08:57:21,71,IN,Airtel-LDH-001,354809100000322,404000000365274,BSNL,30.9120,75.8530
+91980001661,+91850002678,2025-08-24 12:08:45,257,OUT,JIO-CHD-006,354809100000343,404000000389031,JIO,30.6940,76.7270
+91850006068,+91800008226,2025-08-24 16:29:51,239,IN,JIO-CHD-001,354809100000273,404000000309841,JIO,30.7333,76.7794
+91850006926,+91800004861,2025-08-24 02:06:09,58,IN,BSNL-HSP-001,354809100000287,404000000325679,JIO,31.1050,75.7040
+91800004861,+91800009044,2025-08-25 01:38:31,52,OUT,Airtel-LDH-002,354809100000154,404000000175218,BSNL,30.9250,75.8640
+91990002040,+91850009946,2025-08-24 06:06:25,104,OUT,JIO-PHR-001,354809100000462,404000000523654,JIO,31.0150,75.3480
+91850010197,+91980004311,2025-08-24 12:53:29,31,IN,Airtel-LDH-001,354809100000322,404000000365274,BSNL,30.9120,75.8530
+91980009677,+91980001895,2025-08-24 23:13:29,456,IN,BSNL-HSP-001,354809100000427,404000000484059,BSNL,31.1050,75.7040
+91990001551,+91980004311,2025-08-24 07:53:58,50,IN,JIO-CHD-001,354809100000455,404000000515735,Airtel,30.7333,76.7794
+91990006728,+91990008835,2025-08-24 17:52:37,86,IN,JIO-CHD-002,354809100000511,404000000579087,JIO,30.7420,76.7880
+91980005802,+91800006894,2025-08-24 16:35:06,1162,OUT,JIO-PTK-001,354809100000392,404000000444464,JIO,31.3260,75.5760
+91980000676,+91700007836,2025-08-24 04:23:28,79,IN,JIO-PHR-001,354809100000336,404000000381112,JIO,31.0150,75.3480
+91980000676,+91800006894,2025-08-24 18:19:06,539,IN,Airtel-LDH-002,354809100000336,404000000381112,JIO,30.9250,75.8640
+91990002040,+91990010724,2025-08-24 17:10:41,6,OUT,VI-PTA-001,354809100000462,404000000523654,JIO,30.3750,76.7820
+91800006689,+91800003986,2025-08-24 01:52:16,68,IN,JIO-CHD-001,354809100000168,404000000191056,JIO,30.7333,76.7794
+91990003043,+91980001661,2025-08-24 14:34:11,68,OUT,JIO-PHR-001,354809100000469,404000000531573,JIO,31.0150,75.3480
+91980007176,+91990008369,2025-08-24 02:24:21,107,IN,Airtel-LDH-002,354809100000406,404000000460302,JIO,30.9250,75.8640
+91990003043,+91800010849,2025-08-24 23:05:43,59,IN,JIO-CHD-003,354809100000469,404000000531573,JIO,30.7510,76.8010
+91700006802,+91700008714,2025-08-24 18:00:50,51,OUT,JIO-CHD-MEET,354809100000063,404000000072271,Airtel,30.7380,76.7830
+91850002311,+91800006894,2025-08-24 22:23:53,109,IN,JIO-PTK-001,354809100000238,404000000270246,Airtel,31.3260,75.5760
+91800003431,+91980004311,2025-08-24 16:34:53,112,OUT,BSNL-JAL-001,354809100000133,404000000151461,JIO,30.9530,75.5730
+91700006802,+91990001551,2025-08-24 06:33:26,1772,OUT,JIO-CHD-HOME,354809100000063,404000000072271,Airtel,30.7280,76.7750
+91980010429,+91850001457,2025-08-24 04:45:50,37,OUT,Airtel-LDH-002,354809100000441,404000000499897,JIO,30.9250,75.8640
+91850001457,+91850010197,2025-08-24 12:08:58,74,OUT,JIO-CHD-004,354809100000231,404000000262327,JIO,30.7190,76.7620
+91980002950,+91700008195,2025-08-24 05:29:14,91,OUT,VI-PTA-001,354809100000357,404000000404869,Airtel,30.3750,76.7820
+91850005482,+91700000306,2025-08-24 17:04:17,56,OUT,Airtel-LDH-001,354809100000266,404000000301922,Airtel,30.9120,75.8530
+91990001551,+91700003099,2025-08-24 21:42:09,1952,OUT,JIO-CHD-004,354809100000455,404000000515735,Airtel,30.7190,76.7620
+91700007836,+91700005350,2025-08-24 18:32:16,1,SMS,JIO-PHR-001,354809104512345,404000000080190,JIO,31.0150,75.3480
+91980003026,+91850001457,2025-08-24 03:26:56,27,IN,JIO-CHD-006,354809100000364,404000000412788,Airtel,30.6940,76.7270
+91800010849,+91990005283,2025-08-24 14:21:54,294,SMS,JIO-CHD-002,354809104512345,404000000238570,VI,30.7420,76.7880
+91990001551,+91850006926,2025-08-24 05:34:23,86,IN,JIO-CHD-004,354809100000455,404000000515735,Airtel,30.7190,76.7620
+91850008066,+91980002950,2025-08-24 10:15:41,34,OUT,JIO-CHD-003,354809100000294,404000000333598,BSNL,30.7510,76.8010
+91800010977,+91980009677,2025-08-24 13:32:07,4,IN,VI-PTA-001,354809100000217,404000000246489,Airtel,30.3750,76.7820
+91800009709,+91850006926,2025-08-24 16:57:56,76,IN,JIO-PHR-001,354809100000203,404000000230651,BSNL,31.0150,75.3480
+91980009677,+91990003057,2025-08-24 21:17:56,32,OUT,Airtel-LDH-002,354809100000427,404000000484059,BSNL,30.9250,75.8640
+91700000306,+91990003057,2025-08-24 11:52:27,294,IN,JIO-PHR-001,354809104512345,404000000001000,JIO,31.0150,75.3480
+91990003043,+91850005482,2025-08-24 20:06:39,115,SMS,JIO-CHD-002,354809100000469,404000000531573,JIO,30.7420,76.7880
+91850011508,+91850011508,2025-08-24 08:49:13,753,IN,JIO-CHD-003,354809100000329,404000000373193,Airtel,30.7510,76.8010
+91990000801,+91850011508,2025-08-25 01:41:15,41,SMS,BSNL-JAL-001,354809100000448,404000000507816,JIO,30.9530,75.5730
+91700003938,+91700006802,2025-08-24 11:09:46,132,SMS,Airtel-AMB-001,354809100000035,404000000040595,JIO,30.5200,76.6600
+91800007370,+91800003431,2025-08-24 22:01:24,88,IN,Airtel-LDH-002,354809100000182,404000000206894,JIO,30.9250,75.8640
+91990006728,+91980004311,2025-08-24 03:45:20,1568,OUT,JIO-CHD-MEET,354809100000511,404000000579087,JIO,30.7380,76.7830
+91850006068,+91700006802,2025-08-24 14:38:51,86,OUT,JIO-CHD-MEET,354809100000273,404000000309841,JIO,30.7380,76.7830
+91700006750,+91990001551,2025-08-24 15:50:12,22,SMS,JIO-PTK-001,354809100000056,404000000064352,BSNL,31.3260,75.5760
+91850006068,+91700003938,2025-08-24 18:39:36,1823,OUT,JIO-CHD-005,354809100000273,404000000309841,JIO,30.7050,76.7450
+91850002311,+91800003431,2025-08-24 04:23:57,253,OUT,BSNL-JAL-001,354809100000238,404000000270246,Airtel,30.9530,75.5730
+91990005106,+91700003099,2025-08-24 15:42:32,12,OUT,JIO-CHD-006,354809100000490,404000000555330,JIO,30.6940,76.7270
+91980004311,+91850011508,2025-08-24 11:46:28,116,IN,BSNL-JAL-001,354809100000371,404000000420707,Airtel,30.9530,75.5730
+91850006926,+91700008714,2025-08-24 14:10:11,24,IN,JIO-CHD-006,354809100000287,404000000325679,JIO,30.6940,76.7270
+91850003325,+91850011508,2025-08-25 00:57:54,105,SMS,JIO-PHR-001,354809100000252,404000000286084,JIO,31.0150,75.3480
+91990003043,+91980007956,2025-08-24 18:22:20,104,IN,JIO-PTK-001,354809100000469,404000000531573,JIO,31.3260,75.5760
+91980002950,+91990005690,2025-08-24 08:48:49,90,OUT,JIO-CHD-004,354809100000357,404000000404869,Airtel,30.7190,76.7620
+91980002950,+91980004860,2025-08-24 18:38:32,116,OUT,JIO-CHD-002,354809100000357,404000000404869,Airtel,30.7420,76.7880
+91700008195,+91850010197,2025-08-24 15:48:37,28,IN,JIO-PHR-001,354809100000077,404000000088109,BSNL,31.0150,75.3480
+91800007370,+91990006728,2025-08-24 11:15:30,15,OUT,BSNL-JAL-001,354809100000182,404000000206894,JIO,30.9530,75.5730
+91980004311,+91700000306,2025-08-24 13:31:58,92,OUT,JIO-CHD-001,354809100000371,404000000420707,Airtel,30.7333,76.7794
+91800002599,+91990005283,2025-08-24 06:32:54,32,OUT,JIO-CHD-HOME,354809100000126,404000000143542,JIO,30.7280,76.7750
+91700003938,+91980004860,2025-08-24 10:52:04,1013,OUT,Airtel-LDH-002,354809104519999,404000000040595,JIO,30.9250,75.8640
+91700008714,+91850006926,2025-08-24 09:13:04,30,OUT,JIO-CHD-005,354809100000084,404000000096028,JIO,30.7050,76.7450
+91850004460,+91800006894,2025-08-24 22:29:37,13,IN,JIO-CHD-006,354809100000259,404000000294003,JIO,30.6940,76.7270
+91850006068,+91990010724,2025-08-24 03:24:32,22,SMS,JIO-PTK-001,354809100000273,404000000309841,JIO,31.3260,75.5760
+91800005262,+91850002311,2025-08-24 08:07:31,166,OUT,VI-PTA-001,354809100000161,404000000183137,JIO,30.3750,76.7820
+91700006750,+91990010724,2025-08-24 10:27:23,69,IN,JIO-LDH-001,354809100000056,404000000064352,BSNL,30.8890,75.8210
+91800006894,+91850005482,2025-08-25 00:20:00,77,OUT,JIO-CHD-003,354809104519999,404000000198975,JIO,30.7510,76.8010
+91980003026,+91990008835,2025-08-24 20:16:47,105,OUT,Airtel-LDH-002,354809100000364,404000000412788,Airtel,30.9250,75.8640
+91850006068,+91980010429,2025-08-24 12:25:34,75,OUT,JIO-LDH-001,354809100000273,404000000309841,JIO,30.8890,75.8210
+91990005690,+91850009946,2025-08-24 15:48:15,62,SMS,Airtel-LDH-001,354809100000504,404000000571168,JIO,30.9120,75.8530
+91700000306,+91980006818,2025-08-24 10:20:50,88,SMS,JIO-CHD-MEET,354809104512345,404000000001000,JIO,30.7380,76.7830
+91700009927,+91800008226,2025-08-24 15:48:29,3,SMS,JIO-PTK-001,354809100000091,404000000103947,Airtel,31.3260,75.5760
+91990005283,+91980006818,2025-08-24 06:26:50,41,OUT,Airtel-LDH-002,354809100000497,404000000563249,BSNL,30.9250,75.8640
+91850006068,+91800009709,2025-08-24 12:05:20,193,IN,Airtel-LDH-002,354809100000273,404000000309841,JIO,30.9250,75.8640
+91800006689,+91990000801,2025-08-24 02:07:50,94,IN,VI-PTA-001,354809100000168,404000000191056,JIO,30.3750,76.7820
+91990005106,+91990008369,2025-08-24 11:58:51,66,OUT,JIO-CHD-001,354809100000490,404000000555330,JIO,30.7333,76.7794
+91980001895,+91980001895,2025-08-24 06:18:43,93,OUT,JIO-CHD-MEET,354809100000350,404000000396950,JIO,30.7380,76.7830
+91700001246,+91800004861,2025-08-24 10:27:43,40,IN,JIO-CHD-003,354809100000007,404000000008919,VI,30.7510,76.8010
+91980010398,+91700005168,2025-08-24 08:09:29,106,IN,BSNL-HSP-001,354809100000434,404000000491978,BSNL,31.1050,75.7040
+91990000801,+91980008641,2025-08-24 08:29:23,252,SMS,JIO-CHD-002,354809100000448,404000000507816,JIO,30.7420,76.7880
+91980008641,+91800002085,2025-08-24 10:18:38,25,OUT,Airtel-LDH-001,354809100000420,404000000476140,Airtel,30.9120,75.8530
